SN,longitude,latitude,Species,Field  Validation status,Associated species,Deep Learning status,
146,84.0702,28.04336,lantana,Present,,Present,
147,84.06961,28.0431,lantana,Present,,Absent,
148,84.06949,28.04285,lantana,Present,sissoo,Absent,
149,84.06959,28.04269,lantana,Present,,Present,
150,84.06949,28.04261,Lantana,Present,,Present,
151,84.06945,28.04256,Lantana,Present,,Present,
152,84.06858,28.04393,absent,Absent,grassland,Absent,
153,84.06773,28.04692,Lantana,Present,"acacia,sissoo",Absent,
154,84.06767,28.04703,Lantana,Present,,Absent,
155,84.06747,28.04669,Lantana,Present,,Absent,
156,84.06757,28.04676,Lantana,Present,,Absent,
157,84.06751,28.04699,Lantana,Present,,Absent,
158,84.06758,28.04709,Lantana,Present,,Absent,
159,84.06758,28.04721,parthenium,Absent,pure patch,Absent,
160,84.06742,28.04721,parthenium,Absent,,Absent,
161,84.06739,28.04703,Lantana,Present,"acacia ,sisso",Absent,
162,84.06758,28.04728,Lantana,Present,,Absent,
163,84.0676,28.04739,Lantana,Present,,Absent,
164,84.06764,28.04749,Lantana,Present,,Absent,
165,84.06795,28.04855,parthenium,Absent,pure patch,Absent,
166,84.06796,28.04864,parthenium,Absent,,Absent,
167,84.06813,28.04856,parthenium,Absent,,Absent,
168,84.06814,28.04859,parthenium,Absent,,Absent,
169,84.06817,28.04853,parthenium,Absent,pure patch,Absent,
170,84.06816,28.04846,parthenium,Absent,,Absent,
171,84.06809,28.04848,parthenium,Absent,,Absent,
172,84.06808,28.04853,parthenium,Absent,,Absent,
173,84.06733,28.04889,Lantana,Present,lantana,Absent,
174,84.06735,28.04885,Lantana,Present,,Absent,
175,84.06675,28.05011,Lantana,Present,acacia,Present,
176,84.0664,28.05043,Lantana,Present,,Present,
177,84.06644,28.05051,Lantana,Present,,Absent,
178,84.06668,28.0505,Lantana,Present,,Absent,
179,84.06673,28.05035,Lantana,Present,acacia,Absent,
180,84.06672,28.05024,Lantana,Present,,Absent,
181,84.06712,28.05161,Lantana,Present,,Absent,
182,84.06707,28.0516,Lantana,Present,,Absent,
183,84.07014,28.05479,absent,Absent,,Present,
184,84.07004,28.055,Chromoleana,Present,"Jatropa, bidens ,lantana",Present,
185,84.07009,28.05503,Chromoleana,Present,Lantana,Present,
186,84.07016,28.05505,Lantana,Present,"bidens,cyperus",Present,
